영문,한글,최종 확인 여부
interaction details menu,인터랙션 세부 정보 메뉴,
Figma Desktop app,Figma 데스크톱 앱,
file importer,파일 가져오기,
file browser,파일 브라우저,
FigmaService|Figma Service,Figma Service,
emote,이모티콘,
drop shadow,드롭 섀도우,
ellipse,타원,
frame,프레임,
hug contents,내용에 맞게 조절,
mouse up,마우스 버튼 떼기,
Mode,모드,
move out,밖으로 이동,
mouse enter,마우스 들어옴,
interactive components,인터랙티브 컴포넌트,
mirror,미러링하기,
instant,인스턴트,
Layout,레이아웃,
key/gamepad,키 / 게임패드,
insights,인사이트,
insight,통찰력,
Instances,인스턴스,
inner shadow,안쪽 그림자,
mirror,미러링,
multiplayer cursor,멀티플레이어 커서,
miter angle,미터 각,
marker,마커,
multiplayer,멀티플레이어,
inspect,검사,
group,그룹,
highlighter,형광펜,
hand tool,손 도구,
matching layers,일치하는 레이어,
Mind map,마인드맵,
opacity,불투명도,
link preview,링크 미리보기,
layer blur,레이어 흐림,
opportunity solution tree,기회 솔루션 트리,
organization admin,오거니제이션 관리자,
panel,패널,
paid seat,유료 시트,
padding,패딩,
plugin,플러그인,
playground,플레이그라운드,
polygon,다각형,
object,개체,
overflow behavior,오버플로 동작,
Online whiteboard,온라인 화이트보드,
Organization plan,오거니제이션 요금제,
mouse down,마우스 누르기,
move in,안으로 이동,
Professional plan,프로페셔널 요금제,
mood board,무드보드,
prototype,프로토타입,
project,프로젝트,
open session,오픈 세션,
prototype panel,프로토타입 패널,
Prototype viewer,프로토타입 뷰어,
prototyping,프로토타입 제작,
pixel,픽셀,
prototyping,프로토타입 제작,
RGB,RGB,
Ready for Dev View,개발 준비 완료 보기,
quick create,빠른 생성,
Play prototype,프로토타입 재생,
presentation view,프레젠테이션 보기,
scale,크기 조정,
overlay,오버레이,
owner,소유자,
push,밀어내기,
layer,레이어,
Nothing great is made alone,혼자서는 위대한 디자인을 만들 수 없습니다.,
mouse leave,마우스 나가기,
ruler,눈금자,
pen,펜,
move tool,이동 도구,
network diagram,네트워크 다이어그램,
leave spotlight,스포트라이트 모드 나가기,
Sitemap,사이트맵,
slice,슬라이스,
remix,리믹스,
Smart Animate,스마트 애니메이션,
property,속성,
shadow,그림자,
Spotlight,스포트라이트,
shape,도형,
profile connection,프로필 연결,
preserve scroll position,스크롤 위치 유지,
raci matrix template,RACI 매트릭스 템플릿,
personal access token,개인 액세스 토큰,
slide in,슬라이드 인,
seat,시트,
site map generator,사이트맵 생성기,
Slide in / Slide out,슬라이드 인 / 슬라이드 아웃,
stakeholders,이해관계자,
Sho Kuwamoto,Sho Kuwamoto,
Sketch,Sketch,
slide out,슬라이드 아웃,
Story map,스토리 맵,
style,스타일,
table of contents,목차,
SWOT analysis,SWOT 분석,
tidy up,균등 간격,
Strategic Planning,전략 계획,
Tone dial,톤 다이얼,
stickies,스티커 메모,
trace,추적,
Styles,스타일,
stroke,선,
UX designer,UX 디자이너,
UML diagram,UML 다이어그램,
UX,UX,
viewer,뷰어,
Team meeting,팀 회의,
quick actions,빠른 액션,
SWOT,SWOT,
sticky note,스티커 메모,
pencil,연필,
project organization chart,프로젝트 조직도,
Shortcut,Shortcut,
secret,시크릿,
shadow spread,그림자 확산,
trigger,트리거,
Rust,Rust,
SWOT analysis template,SWOT 분석 템플릿,
smart selection,스마트 셀렉션,
stamp,스탬프,
security,보안,
spotlight,스포트라이트를 비추다,
variant,베리언트,
SQL,SQL,
Starter plan,스타터 요금제,
sticker,스티커,
vs,대,
versus,대,
vision board,비전 보드,
web design,웹 디자인,
UX/UI designer,UX/UI 디자이너,
wireframe,와이어프레임,
workspace,작업 공간,
Variable,변수,
wireframing,와이어프레임 제작,
true-up,트루업,
UX/UI design,UX/UI 디자인,
vision board template,비전보드 템플릿,
UX/UI,UX/UI,
UI designer,UI 디자이너,
team,팀,
stakeholder,이해관계자,
startup,스타트업,
UI,UI,
web designer,웹 디자이너,
UI3,UI3,
User persona,사용자 페르소나,
Variables,변수,
Variables REST API,변수 REST API,
workspace admin,작업공간 관리자,
template,템플릿,
vertical scrolling,세로 스크롤,
widget,위젯,
webhooks,웹훅,
tech stack,기술 스택,
shortcut,바로가기,
alignment,정렬,
pin,고정,
Hex,,
RGB,,
CSS,,
HSL,,
HSB,,
Dev seat,데브 시트,
Collab seat,콜라보 시트,
View seat,뷰어 시트,
State of the Designer,스테이트 오브 더 디자이너 2025,
Whiteboard,화이트보드,
feedback,피드백,
Connect Project,,
library publish,라이브러리 게시,
AI tools,AI 도구,
agenda template,안건 템플릿,
alert,알림,
Figma,,
accessibility tool,접근성 도구,
Adyen,,
AI content training,AI 콘텐츠 교육,
activity,활동,
analytics,분석,
access token,액세스 토큰,
AI,AI,
APAC,APAC(아시아 태평양),
animation,애니메이션,
admin,관리자,
Android app,Android 앱,
annual billing,연간 청구,
annual seat,연간 시트,
Asana,,
Android,,
API,,
Apple Pencil,,
AI features,AI 기능,
approval,승인,
allowlist,허용 목록,
annotations,주석,
API token,API 토큰,
app wireframe,앱 와이어프레임,
authentication code,인증 코드,
annual subscription,연간 구독,
authentication,인증,
arrow,화살표,
Apple,,
auto,자동,
beta,베타,
avatar,아바타,
brand loyalty,브랜드 충성도,
architecture diagram,구성도,
bidirectional text,양방향 텍스트,
business presentation,비즈니스 프레젠테이션,
billing group,청구 그룹,
authenticator app,인증 앱,
bug,버그,
copy,복사,
comment notification,댓글 알림,
compliance,규정 준수,
dashboard,대시보드,
Community resource,커뮤니티 리소스,
creator,크리에이터,
Community file,커뮤니티 파일,
data visualization,데이터 시각화,
Chrome,,
capitals,대문자,
constraint,제약조건,
default library,기본 라이브러리,
custom font,사용자 지정 글꼴,
contribution,기여,
color transition,색상 전환,
default,기본,
consumption,소비,
dashboard UI,대시보드 UI,
cookies,쿠키,
color profile,색상 프로필,
consumption tax,소비세,
Community,커뮤니티,
destination,연결 대상,
design file,디자인 파일,
cursor,커서,
Dev Mode features,Dev Mode 기능,
Design,,
component property,컴포넌트 속성,
desktop app,데스크톱 앱,
default access,기본 액세스,
dashboard template,대시보드 템플릿,
Design seat,디자인 시트,
dashboard design,대시보드 디자인,
code snippet,코드 스니펫,
deck,덱,
development plugin,개발 플러그인,
debug,디버그,
CSV,,
debug log,디버그 로그,
carousel,캐러셀,
Dev Mode,,
desktop,데스크톱,
cache,캐시,
device mockup,기기 모형,
Dev Mode seat,Dev Mode 시트,
Dev Mode access,Dev Mode 액세스,
draft file,초안 파일,
design documentation,디자인 문서,
design team,디자인 팀,
dimension,치수,
developer tool,개발자 도구,
edit,편집,
Dev Mode plugin,Dev Mode 플러그인,
Edge,,
email domain,이메일 도메인,
drafts folder,초안 폴더,
domain,도메인,
export plugin,내보내기 플러그인,
ecommerce app,전자상거래 앱,
edit file,파일 편집,
Dev Mode request,Dev Mode 요청,
dropdown,드롭다운,
export,내보내기,
draft,초안,
external collaborator,외부 공동작업자,
edit access,권한 수정,
extension,확장,
Enterprise,엔터프라이즈,
elevation,고도,
Figma Design seat,Figma Design 시트,
FigJam AI,,
Dropbox,,
expiration,만료,
FigJam board,FigJam 보드,
file access,파일 액세스,
external content,외부 콘텐츠,
Figma design files,Figma Design 파일,
email notification,이메일 알림,
favorites,즐겨찾기,
feed post,피드 게시물,
Figma prototype,Figma 프로토타입,
file preview,파일 미리 보기,
Figma subscription,Figma 구독,
Figma support,Figma 지원,
Education,에듀케이션,
filter,필터,
Fixed,고정,
free seat,무료 시트,
FigJam seat,FigJam 시트,
edit action,편집 액션,
Figma account,Figma 계정,
Google fonts,Google Fonts,
Figma for Government,정부 기관을 위한 Figma,
external user,외부 사용자,
embed,임베드,
file URL,파일 URL,
file permission,파일 권한,
highlight cover,하이라이트 커버,
file link,파일 링크,
graphic design,그래픽 디자인,
horizontal,수평,
insertion,삽입,
handle,아이디,
import plugin,내보내기 플러그인,
iOS,,
identity provider,ID 공급자,
flowchart,순서도,
hidden layer,숨겨진 레이어,
inspection,검사,
immutable frame,불변 프레임,
Instagram,,
interface design,인터페이스 디자인,
Instagram carousel,Instagram 캐러셀,
interaction,상호작용,
import,가져오기,
integration,통합,
guests,게스트,
landscape,가로,
installer,설치 프로그램,
invite link,초대 링크,
library setting,라이브러리 설정,
license,라이선스,
layout grid,레이아웃 그리드,
keynote,키노트,
iPhone app,iPhone 앱,
indicator,인디케이터,
IdP,ID 공급자,
Jeopardy,,
Library Analytics,Library Analytics,
GIF,GIF,
Google SSO,Google SSO,
Groww,,
local font,로컬 글꼴,
gradient,그레이디언트,
Google Drive,,
metadata,메타데이터,
layer,레이어,
hint,힌트,
iPhone,,
icon set,아이콘 설정,
free trial,무료 평가판,
MacBook,,
menu,메뉴,
meeting agenda template,회의 안건 템플릿,
merge,병합,
keyboard,키보드,
iPad,,
noodle,누들,
login,로그인,
mind map template,마인드맵 템플릿,
modal,모달,
macOS,,
in-app notification,인앱 알림,
library update,라이브러리 업데이트,
navigation,탐색,
nudge,미세 조정하다,
link access,링크 액세스,
log,로그,
open session,오픈 세션,
permission level,권한 수준,
placeholder,입력 예시,
parent,부모,
PDF,,
payment method,결제 방법,
pinning,고정,
palette,팔레트,
outline,윤곽선,
portfolio website template,포트폴리오 웹사이트 템플릿,
planner,계획표,
organization member,오거니제이션 구성원,
monthly subscription,월간 구독,
password protection,비밀번호 보안,
picker,선택기,
product development,제품 개발,
org chart,조직도,
public link,공개 링크,
product presentation,제품 프레젠테이션,
product design,제품 디자인,
Professional,프로페셔널,
Professional team,프로페셔널 팀,
preset,사전 설정,
primary email,기본 이메일,
playground file,플레이그라운드 파일,
prototype link,프로토타입 링크,
plugin approval,플러그인 승인,
Macbook mockup,Macbook 모형,
publish,게시하기,
Professional trial,프로페셔널 평가판,
project transfer,프로젝트 이전,
primary user,기본 사용자,
media file,미디어 파일,
organization,오거니제이션,
pitch deck,피치덱,
project planning,프로젝트 계획,
mockup,모형,
memory limit,메모리 제한,
product manager,제품 관리자,
Professional features,프로페셔널 요금제 기능,
renewal,갱신,
project management,프로젝트 관리,
properties panel,속성 패널,
release,릴리스,
REST API,REST API,
recovery mode,복구 모드,
preview,미리보기,
properties,속성,
RTL,RTL,
RTL plugin,RTL 플러그인,
profile,프로필,
Safari,,
Select tool,도구 선택,
Professional subscription,프로페셔널 구독,
QR code,QR 코드,
resources,리소스,
resume template,이력서 템플릿,
RTL script,RTL 스크립트,
restrictions,제한,
session,세션,
separator,구분 기호,
publisher invite,게시자 초대,
seat type,시트 유형,
social media icon,소셜미디어 아이콘,
settings page,설정 페이지,
slide,슬라이드,
push notification,푸시 알림,
Sketch file,Sketch 파일,
shortcuts,바로가기,
Slides,,
sticky notes,스티커 메모,
table,테이블,
share,공유,
Starter team,스타터 팀,
Starter,스타터,
Slack,,
tap,탭,
Stripe,,
team owner,팀 소유자,
SMS,SMS,
simple resume template,간단한 이력서 템플릿,
Sketch file,,
tab,탭,
state management,상태 관리,
team member,팀 구성원,
SCIM group,SCIM 그룹,
Qonto,,
query,쿼리,
text alignment,텍스트 정렬,
SAML SSO,SAML SSO,
team access,팀 액세스,
search,검색,
recovery code,복구 코드,
roadmap,로드맵,
slide deck,슬라이드 덱,
SAML,SAML,
token,토큰,
stats,통계,
resizing,크기 조정,
seller,판매자,
SCIM,SCIM,
reply,답변,
sync,동기화,
truncation,잘림,
timer,타이머,
request,요청,
text layer,텍스트 레이어,
solution,솔루션,
team project,팀 프로젝트,
standup meeting,스탠드업 회의,
switcher,전환 기능,
team admin,팀 관리자,
upgrade request,업그레이드 요청,
toolbar,도구 모음,
UI element,UI 요소,
transfer request,이전 요청,
UI icon set,UI 아이콘 세트,
team plan,팀 요금제,
user,사용자,
unassigned draft,할당되지 않은 초안,
value,값,
UX design,UX 디자인,
troubleshooting,문제 해결,
UI component,UI 컴포넌트,
Trello,,
upgrade,업그레이드,
subscription,구독,
usage,사용량,
view,보기,
visual assets,비주얼 에셋,
visibility,표시,
Windows,,
VS Code,VS Code,
user account,사용자 계정,
user interface,사용자 인터페이스,
whiteboard template,화이트보드 템플릿,
variable mode,변수 모드,
URL,URL,
website template,웹사이트 템플릿,
Spotify,,
viewer-restricted seat,뷰어 제한 시트,
whiteboard,화이트보드,
WebGL,,
user experience,사용자 경험,
wireframe sketch,와이어프레임 스케치,
Can view access,열람 가능 액세스,
vector shape,벡터 도형,
weekly planner template,주간 계획표 템플릿,
UI Kit,UI 키트,
workspace admin,작업공간 관리자,
two-factor authentication,이중 인증,
variable font,가변 글꼴,
thread,스레드,
team bonding,팀 유대감,
TSMER,,
workshop template,워크숍 템플릿,
hotspot hint,핫스팟 힌트,
workflow,업무 흐름,
preview,미리보기,
wireframe,와이어프레임,
website design,웹사이트 디자인,
pricing,요금제,
WASM memory,WASM(WebAssembly) 메모리,
get tickets,티켓 구매,
Search,검색,
full,전체,
Dev,데브,
Collab,콜라보,
Release Notes,,
Hue,,
feed,,
Release Notes,,
Release Notes,,
ACH,,
SEPA,,
AMEX,,
DINERS CLUB,,
EFTPOS,,
JCB,,
MASTERCARD,,
UNIONPAY,,
VISA,,
Government,,
annual plan,,
seats,,
plan,,
deck,,
icon,,
seat,,
Figma for Education,,
Stand ups,,
DISCOVER,,
