Date,User,Message
2023-10-13 11:35:06,"양손 엄지척 무지","오 감사합니다! 혹시 실례가 안된다면 어떤 강의 보셨는지 공유 가능하신가요?"
2023-10-13 11:37:32,"졸린 라이언","Html css 요약 정리는 유튜브에 너무 많아서 조회수나 인기 많은거 마음에 드는거 하나 골라보셔도 되고"
2023-10-13 11:38:08,"양손 엄지척 무지","프레이머는 바로 사이트로 만들 수 있나요??"
2023-10-13 11:38:11,"졸린 라이언","인프런에서도 html/css 무료 강좌 많으니 하나 골라보혀도 되요"
2023-10-13 11:38:19,"양손 엄지척 무지","노코드 툴? 기능도 있는 걸까요?"
2023-10-13 11:38:42,"양손 엄지척 무지","아하! 감사합니다ㅎㅎ 그럼 말씀하신 부분부터 차근 차근 공부해 봐야겠네요!!"
2023-10-13 11:42:56,"졸린 라이언","굳이 추천한다면 인프런에 있는 유노코딩님의 무료강좌를 듣는게 가장 입문자한테 맞는거같아요."
2023-10-13 11:44:44,"양손 엄지척 무지","상세히 답변해주셔서 감사합니다ㅎㅎ"
2023-10-13 11:45:08,"라이언&","사이트를 만드는 것 보다 프로토타입을 적용하는거 아닌가요 프레이머는요."
2023-10-13 12:04:18,"Andy","감사합니다!!
평소 구조를 생각하며 피그마 상에서는 작업하려 노력은 했던 거 같은데,
반응형에 대해 디바이스에 따른 저런 동적인 움직임을 제가 개발자 팀원에게 전달할 때 도대체 어떻게 전달해야하나 고민하다 질문 하게됐습니다!
베리어블을 꼭 열심히 공부하고, 다른 방법들도 찾아봐야겠어요!"
2023-10-13 12:04:32,"씩씩거리는 무지","아 상위 멤버쉽결제하면 사이트 런칭 가능해요"
2023-10-13 12:04:49,"씩씩거리는 무지","도메인 연결해서 관리 가능합니다"
2023-10-13 12:06:07,"Andy","프레임(디바이스) 사이즈 변화에 따라 변화하는 반응형 웹사이트 디자인을 핸드오프해야하는데, 여러분의 대화내용 보고 저도 많이 배우네요!
프레이머를 배워봐야할지.. 고민도 되네요..!"
2023-10-13 12:08:17,"Neo loves Friday","프레이머는 웹플로우처럼 웹사이트 빌딩플랫폼으로 생각했었는데 아닌가봐요"
2023-10-13 12:09:44,"생각하는 라이언","처음에는 프로토타입으로 만들어졌는데.. 요즘은 웹사이트 빌더로 포커스 맞추고 있다고 봤네요. 쓰기 나름인 것 같아요!!"
2023-10-13 12:30:52,"휘파람 프로도","휘파람 프로도 left this chatroom."
2023-10-13 12:39:38,"Tity","안녕하세요 C4D로 조금 복잡한 오브젝트를 만들고 움직임까지 주고싶은데 피그마에 적용할 수 있는 방법 아시나요?

여러 곳 검색해봤는데 필요한 3D오브제가 간단한 경우 플러그인을 사용하거나 피그마 내에서 직접 만드는 경우가 대부분인 것 같더라구요
근데 제가 필요한 3D오브제는 원하는 모양이 없어서 C4D같은 3D프로그램에서 직접 만들어 사용해야하는 상황입니다

혹시 참고할만한 자료 있으시면 부탁드립니다! 🥲"
2023-10-13 12:55:58,"삼디/3d","gif 로 넣는건어던가요?"
2023-10-13 12:56:02,"삼디/3d","영상이니깐요 모션이면"
2023-10-13 12:57:27,"경례하는 프로도","c4d-에펙-로띠/gif/mov 이런식으로 넣을거같은데"
2023-10-13 12:57:36,"경례하는 프로도","(c4d 해본적 없음)"
2023-10-13 12:57:53,"경례하는 프로도","꼭 피그마 안에서 구현해야하는건가요 개발환경에서 구현 목적이 아니라"
2023-10-13 13:04:04,"삼디/3d","에펙에서 바로 gif 넘기는 플러그인도 있을걸요"
2023-10-13 13:04:41,"불나방김왕목","불나방김왕목 joined this chatroom."
2023-10-13 13:19:20,"힙합맨 제이지","안녕하세요. 혹시 피그마에서 유니온 단축키는 없나요??"
2023-10-13 13:50:53,"머쓱튜브","혹시 회사에서 오토플로우 플러그인 유료로 사용하시는분 계신가요?"
2023-10-13 13:56:00,"말썽쟁이 네오","저 구매해서 사용 중입니다!"
2023-10-13 14:00:14,"오픈채팅봇","피그마 피디아👉 https://url.kr/mo9n2a"
2023-10-13 14:03:37,"머쓱튜브","혹시 팀프로젝트 한명이 구매하면 전체 구성원들이 쓸수는 없고, 각자 다 구매를 해야할까요ㅜ"
2023-10-13 14:04:06,"말썽쟁이 네오","각자 구매해서 사용 중입니다!"
,"","The message has been deleted."
2023-10-13 14:07:45,"피그망","안녕하세요. 
저희 회사에서 아래와 같이 신규 서비스 기획을 위한 사용자 조사 설문을 진행하고 있습니다.

피그마 공부와 같이 자율 스터디를 하고 계시는 분들을 대상으로 서비스를 준비하고 있으며,
설문 조사를 통해 서비스 UX 기획 및 디자인에 적극반영하여 활용할 예정입니다.

일상에 바쁘시겠지만 많은 참여 부탁드립니다:) 
------------------------------------------------------------------
안녕하세요.
인간의 행동과 AI 기술을 연구하는 기업, EDINT(에딘트) 입니다.
여러분의 의견을 반영하여 신규 서비스에 대한 인사이트를 얻고자 합니다.

📌 설문 대상 : 중/고/대학생, 취준생, 직장인 등 현재 공부를 지속하고 있는 분
📌 설문 기간 : 2023년 10월 13일(금) ~ 10월 20일(금)
📌 소요 시간 : 약 5~7분 (30문항 내외)

해당 설문조사에 응해주신 분들 중 추첨하여 상품으로 기프티콘을 보내 드리려고 합니다! 🎁

- 1등 : 굽네치킨 고추바사삭+콜라1.25L (1명)
- 2등 : 베스킨라빈스 파인트 (3명)
- 3등 : 스타벅스 아메리카노 (5명)

결과는 10월 25일 당첨자에 한해 개인 문자드릴 예정입니다.
바쁘시더라도 잠시 시간을 내어 설문 참여 부탁드립니다.
감사합니다. 🍀

👇 아래에서 설문 시작하기
https://www.notion.so/cca68df7b56d49ebb8cfd07474d6b9f6?pvs=21"
2023-10-13 14:07:48,"머쓱튜브","답변 감사합니다 "
2023-10-13 14:07:58,"피그망","Photo"
2023-10-13 14:34:48,"아뵤","Photo"
2023-10-13 14:36:29,"아뵤","피그마 마스터님들 질문이 있습니다! 개발자님과 이야기하다가 React 반응형 웹사이트를 효율적으로 만들기위해

모든 에셋 Constraints 세팅을 Scale로 바꿔야한다고 하는데… 한 번에 설정 바꾸는 방법이 있을까요?"
2023-10-13 14:52:47,"얼굴마사지하는 제이지","안녕하세요! 혹시 피그마로 미리보기 했을 때
여러 화면을 넘기면서 볼 수 있었는데 갑자기 안 돼서요..
혹시 이런 현상 어떻게 해결하는지 알 수 있을까요?

페이지 하나씩만 볼 수 있고 다른 화면들을 넘기면서 볼 수 없는 상황입니다."
2023-10-13 14:59:44,"초롱초롱 튜브","프로토타입 말하는건가요? 플로우 때문에 그런건가 싶은데 스타트 포인트 잡혀있으면 플로우만 보이더라구욥"
2023-10-13 14:59:47,"초롱초롱 튜브","2 photos"
2023-10-13 15:06:41,"엄지척 어피치","오....새로워요"
2023-10-13 15:50:24,"김충환 / 포텐셜랩스 / 글로벌IR중","안녕하세요,
저희 회사에서 서비스기획(PM) 강의를 진행하는데 혹시 관심있으신 분이 계실까 싶어 공유글 올려요.

총 728시간(4.5개월간 진행 / 9am to 6pm / 온라인 교육) 과정으로 AI 및 데이터분석을 포함한 다양한 기획 분야를 접할 수 있는 장점이 있습니다.

아래 공고문을 참고하시고요, 궁금하신 점은 주강사인 제게 편한 방법으로 문의주셔도 좋겠습니다. 그럼 불금 되세요~

모집공고 보기: https://estfamily.career.greetinghr.com/kdt-product-1

＊운영진 사전확인을 받았습니다"
2023-10-13 16:13:51,"Tity","네넵 피그마에서만 구현되면 문제없을 것 같습니다 일단 gif로 추출해서 넣어보겠습니다 감사합니다!"
2023-10-13 16:30:07,"라면먹는 제이지","윽.. 갑자기 생각이 안나는데
variables 로 등록해주는 컬러 플러그인이 있었는데
아시는 분 계실까요??"
2023-10-13 16:33:56,"피튜","말씀하신 플러그인이 
스타일을 베리어블로 만들어주는 거라면 style to variable 쓰시면 됩니다! "
2023-10-13 16:34:10,"라면먹는 제이지","감사합니다 ^^!"
2023-10-13 16:37:34,"얼굴마사지하는 제이지","우와 해결했어요 너무 너무 감사합니다ㅜㅜㅜㅜㅜㅜ"
2023-10-13 16:39:00,"라면먹는 제이지","혹시 컬러칩을 만든 후 스타일로 일괄 등록 하는 플러그인 도 아실까요!?"
2023-10-13 16:40:06,"라면먹는 제이지","아 찾았습니다 !
saved에 있었네요 ㅎㅎ ㅇ"
2023-10-13 17:02:47,"기타치는 튜브","헉 알려주실수있나요"
2023-10-13 17:03:08,"라면먹는 제이지","chroma colors 입니다~!!"
2023-10-13 17:03:15,"라면먹는 제이지","Photo"
2023-10-13 17:03:22,"라면먹는 제이지","아이콘도 같이 보내드릴게용 ㅎㅎ"
2023-10-13 17:03:39,"기타치는 튜브","으아 감사합니다"
2023-10-13 17:05:19,"불나게 일하는 네오","letter spacing 각폰트의 기본값으로 설정해서 보고싶은데 0px이 기본값인건가요? auto가 안되네요 "
2023-10-13 18:54:16,"슈슝","라이브러리 퍼블리싱이 안되는데 어떻게 해결해야할까요 ㅠㅠ?"
2023-10-13 18:54:19,"슈슝","Photo"
2023-10-13 23:16:59,"챔","음... 베리언트 속성값이 비어있거나 충도난게 있나.,..?"
2023-10-13 23:17:03,"챔","충돌."
2023-10-14 13:57:04,"벙찐 튜브","벙찐 튜브 left this chatroom."
2023-10-14 14:00:12,"오픈채팅봇","피그마 피디아👉 https://url.kr/mo9n2a"
2023-10-14 15:46:06,"뇽뇽","안녕하세용 혹시 디자인 시스템은 다들 어떻게 익히세요..? 이런건 나중에 취업하면 자연스럽게 체득되는 부분일까요ㅠ_ㅠ? 피그마에 올라온 디자인 시스템 자료들보니 엄청 많고 복잡하네요.."
2023-10-14 15:48:15,"피튜","잘 되어 있는 디자인 시스템들 쭉 보시고 분해한 다음 똑같이 다시 만들어 보시는 방법 추천드려요. 그리고 왜 그런 구조로 되었는지 아티클 같은거 찾아서 보면 도움 되실거에요!"
2023-10-14 15:50:18,"돈다발 들고 좋아하는 무지","원래 남이 해놓은거 보면 이게뭐지 싶고 어려운거 당연한 것 같아요 ㅋㅋ 이거저거 많이봐두고 실전으로 만들면서 이게 좋았던 것 같고 저번에 봤던 거기선 요게 좋았던 것 같다 적용시키면서 디벨롭했던거 같습니다 "
2023-10-14 16:47:23,"신난 어피치","신난 어피치 joined this chatroom."
2023-10-14 16:55:26,"Andy","제가 아는 마땅한 플러그인이 없어, 도움은 드리지 못하고 질문드려서 죄송합니다만..
혹시 이렇게 scale 값으로 바꿔두고 작업하셨을 때 불편하거나 문제는 없으셨나요?
저도 반응형 웹사이트 ui를 짜서 핸드오프 해야해서 고민이 많거든요,
저희가 프레임을 늘이고 줄여가며 확인할 때는 보통 autolayout 복잡도를 줄이려고 constraints 기능도 많이 활용하잖아요.(bortom navigation bar를 constraints 가로 중앙 세로 아래 정렬 한다든지)
그런식으로 작업하기보다 scale로 바뚜었을 때 어떠셨는지 궁금해서 질문드려봤습니다!"
2023-10-14 16:57:26,"Andy","저도 궁금하여 원 질문자님의 질문을 끌올하니, 혹시라도 아시는 분 있으시면 도와주세요!!
질문: 모든 에셋 constraints 속성값을 일괄 scale로 바꾸는 피그마 플러그인이 있을까요?
이유: 개발자님의 요청-반응형 reat의 효율적인 구현을 위해"
2023-10-14 17:00:05,"피튜","저도 몰랐는데 이런게 있네요!
https://www.figma.com/community/plugin/1137725052701141902"
2023-10-14 17:00:46,"피튜","선택한 객체들을 한번에 constraints scale속성으로 변경해줍니다. 함께 참고해보세요!"
2023-10-14 22:16:06,"멋쟁이 프로도","Photo"
2023-10-14 22:16:08,"멋쟁이 프로도","안녕하세요! 기초적인 질문인데..
저는 아이콘을 48 한가지 사이즈로만 만들어두고 그걸 리사이징해서 사용하고 있는데요.
버튼을 아이콘이 포함된 컴포넌트로 만들어두고
아이콘만 스왑 인스턴스해서 바꿔서 사용할 수 있게 하고 싶습니다.

근데 16사이즈로 들어가있는 아이콘을 48짜리 원본 아이콘으로 스왑하니 저렇게 크게 들어가버리고 인스턴스 안의 인스턴스이다보니 사이즈 수정도 안되는데.. 방법이 없을까요?
다른 분들은 어떻게 관리하시는지 궁금합니다."
2023-10-14 22:16:42,"돼지마","아이콘 원본을 constraints를 scale로 하고 크기 비율 잠궈주시면 될거에요!"
2023-10-14 22:17:50,"시선/졸업취준생","Photo"
2023-10-14 22:18:15,"시선/졸업취준생","여러분 이 아이콘의 이름은 뭐라고 불러야 하나요?.. 아이콘 모음집에서 다운 받으려고 하는데 검색어를 뭐라고 해야할지 모르겠어서요 ㅜㅜ"
2023-10-14 22:18:19,"돼지마","Photo"
2023-10-14 22:18:45,"멋쟁이 프로도","말씀하신대로 했는데 왜 안될ㄹ까요 ㅠㅠ 허허"
2023-10-14 22:19:24,"돼지마","아이콘 벡터 말고 아이콘 프레임에(배리언트프레임) 하신 것은 아닌지 확인해 보셔요!"
2023-10-14 22:20:08,"돼지마","Bento menu icon으로 검색하면 나오실까요?
명칭은 저게 맞는 것 같은데 아이콘팩은 만드는 사람이 이름을 다르게 할 수도 있으니 그냥 menu로도 봐보시는 것도 좋을 것 같네요!"
2023-10-14 22:21:39,"멋쟁이 프로도","Photo"
2023-10-14 22:21:43,"멋쟁이 프로도","와!! 성공했습니다"
2023-10-14 22:21:54,"멋쟁이 프로도","벡터를 scale로 지정하고 라인은 면으로 깨서 사용해야 하는군요"
2023-10-14 22:21:57,"멋쟁이 프로도","정말 감사합니당ㅠㅠ"
2023-10-14 22:22:05,"돼지마","아하 라인은 생각 못했네요"
2023-10-14 22:22:45,"멋쟁이 프로도","아이콘을 원본을 살려두고 scale로 조정해가며 쓰면 된다고 생각했는데 이런 경우를 대비해서 면으로 다 깨두어야 하나봐요ㅎㅎ 감사합니다"
2023-10-14 22:23:05,"시선/졸업취준생","감사합니다!"
2023-10-14 22:23:08,"시선/졸업취준생","Photo"
2023-10-14 22:23:22,"시선/졸업취준생","이분은 그냥 grid 라는 말을 썼네요,,,! "
2023-10-14 22:23:34,"돼지마","메뉴가 아니었군요.. ㅎㅎ"
2023-10-15 14:00:12,"오픈채팅봇","피그마 피디아👉 https://url.kr/mo9n2a"
2023-10-15 14:20:27,"파이팅하는 무지","Video"
2023-10-15 14:20:28,"파이팅하는 무지","안녕하세요! 

어제 작업하다가 키를 잘못만진건지, 첨부한 영상처럼 도형 만들때마다 소수점이 붙여진채로 생성이 되는데, 다시 정수로 나오게 만드는 방법 알 수 있을까요..?"
2023-10-15 14:58:15,"청소하는 튜브","preferences > snap to pixel grid 혹시 꺼져 있으신가요? 꺼져있으시면 켜주시면 될것같습니다..! shift+cmd+' 누르셔도 되고욥"
2023-10-15 15:20:40,"파이팅하는 무지","앗 넵! 간단한 문제였네요 ㅠㅠ 답변 감사합니다! 좋은 주말 되세요!"
2023-10-15 16:45:31,"Neo loves Friday","피그마 엘지그램도 잘 돌아가나요? 피그마 포토샵 같이 열어놔도.."
2023-10-15 17:08:02,"경례하는 프로도","램에따라다를텐데 저 그램18년도에산거 램 16기가였는데 렉걸리더라구요"
2023-10-15 17:08:16,"경례하는 프로도","요듬나온건 더 최적화 잘돼서 잘돌아갈수도..?"
2023-10-15 17:29:41,"Neo loves Friday","헉…."
2023-10-15 17:29:44,"Neo loves Friday","그렇군요"
2023-10-15 19:21:17,"마이크를 든 라이언","혹시 디자이너가 사용할만한 노트북으로 서피스는 오때용??"
2023-10-15 19:30:43,"정참치","서피스만 4개 썼습니다. 좋아요"
2023-10-15 21:07:40,"마이크를 든 라이언","사양 추천 좀 해주세요! ㅠㅠㅠ"
2023-10-15 23:36:48,"고잉","요즘은 맥이 더 가성비 같아여~ "
2023-10-15 23:39:12,"고잉","램 32은 쓰셔야 렉없이 작업하실테고, 포샵 gpu 사용량에따라 그래픽카드 높이시면 됩니다요"
2023-10-16 08:01:01,"피튜","안녕하세요! 
아침시간 즐겁게 시작하고 계신가요?😄
오늘은 간만에 
프로토타이핑 예제 공유해 드려요!

소개해 드릴 튜토리얼은 
토글 탭 또는 탭 UI 클릭 시 
가로로 스크롤 되는 인터랙션인데요.

어제 다른 분이 문의하셨던 내용인데,
자주 사용되는 예제라 
다 같이 알면 좋을 것 같아 공유합니다.

이 인터랙션은 어드번스드 프로토타이핑을 
활용해서 구현하는 방법도 있겠지만 
제가 소개할 튜토리얼은
무료 버전에서도 비교적 간단하게 
만들어 볼 수 있는 방법이니,
필요하신 분들 참고해 보세요!

👉공동작업장 예제 바로가기 
https://url.kr/bz9745

[탭 스크롤 구현한 방법😮] 
1. 예시와 같이 탭 활성 상태, 
스크롤 상태가 다른 화면을 잡습니다. 

2. 전체 혹은 스크롤 될 객체가 들어간 프레임에
Horizontal 스크롤을 설정합니다. 

3. 탭에 트리거 On click 설정,
워크 Navigate to  설정
운동효과 Smart animate 설정 

*탭은 레이어명을 다르게 설정해두어야 
  춤추는 탭을 보지 않으실 수 있습니다. 
  (탭에 스마트 애니메이트 걸리면 부자연스럽더라고요)

**탭 활성 경우의 수가 많을 때는 추천하지 않는 방법입니다. "
2023-10-16 10:41:22,"라이언","아침부터 "
2023-10-16 10:41:24,"라이언","혹시 "
2023-10-16 10:42:10,"라이언","이미지 사이트에서 이용권은 
웹과 인쇄물에만 사용가능한 라이선스인데 확인을 미처 안 해서 
상세페이지에 사용한 걸로 법무법인에서 연락받았는데"
2023-10-16 10:42:22,"라이언","한 컷당 22만원을 배상하라는데 이게 보통인 거겠죠 ㅎㅎ"
2023-10-16 10:42:25,"라이언","Emoticon"
2023-10-16 10:43:52,"라면먹는 제이지","상세페이지도 웹아닌가요?"
2023-10-16 10:43:59,"라면먹는 제이지","라이센스가 어떻게 되어있었나요?"
2023-10-16 10:46:24,"주드 / pd","그리고 보통 법무법인 연락전에 이미지 사이트에서 라이선스 결제를 유도하긴 할텐데요.."
2023-10-16 10:47:56,"하품하는 죠르디","상세페이지도 웹인거 아닌가요..?"
2023-10-16 10:49:10,"라이언","아니라로 하더라구요.."
2023-10-16 10:49:22,"맹수","웹아ㅏ니면 머래요?"
2023-10-16 10:49:27,"라이언","그 중소기업납품 라이선스 따로"
2023-10-16 10:49:37,"김뉴니","기업용 라이센스가 아닌가 ㅇ"
2023-10-16 10:49:41,"라이언","저기에 추가로 오픈라이선스라는 거를 결제하라고 "
2023-10-16 10:49:53,"라이언","하더라구요 오픈마켓 입점, sns사용엔"
2023-10-16 10:49:54,"라이언","별개라고"
2023-10-16 10:49:55,"맹수","계~~속 무시하다보면 소식없기도 해요"
2023-10-16 10:49:55,"라이언","ㅋㅋㅋ"
2023-10-16 10:49:58,"라이언","Emoticon"
2023-10-16 10:50:02,"라이언","그런가요?"
2023-10-16 10:50:06,"라이언","아.."
2023-10-16 10:50:18,"라이언","거래처로 연락이 가서"
2023-10-16 10:50:32,"라이언","제가 실수한 거라 뭐라 말 못하고 법무법인 전화를 버벅버벅 받긴 했는데"
2023-10-16 10:50:35,"라면먹는 제이지","사이트가 어딘가요?"
2023-10-16 10:51:13,"라면먹는 제이지","클라이언트한테 연락이 간다면
빠른시일내에 해결하는게 좋을 것 같아요
저작권 침해니까요 .. "
2023-10-16 10:51:20,"라이언","한컷당 22만원 3컷 66만원으로 배상하거나

중소기업납품라이선스 1년 이용권 + 3컷 사용료 99만원에 하라고 하더라구요.."
2023-10-16 10:51:24,"라이언","이미지투데이"
2023-10-16 10:51:26,"라이언","입니다 ㅎㅎ"
2023-10-16 10:51:30,"라이언","ㅠㅜ네"
2023-10-16 10:51:44,"라면먹는 제이지","그럼 후자가 낫긴하겠네요
회사에서 결제 안해주나요.."
2023-10-16 10:51:58,"라이언","저한테 연락하시라고 법무법인엔 연락해뒀는데"
2023-10-16 10:52:22,"라이언","네..ㅎㅎㅎ"
2023-10-16 10:52:24,"라이언","후자..이군요"
2023-10-16 10:52:57,"라면먹는 제이지","회사에서 결제해준 라이센스는 모에요?"
2023-10-16 10:55:37,"징니","징니 left this chatroom."
2023-10-16 10:56:12,"음료수 마시는 어피치","그러게여 기존 라이센스가 뭐였는지가 중요할거 같은데요"
2023-10-16 10:56:39,"음료수 마시는 어피치","아무래도 라이센스 따라서 자사 컨텐츠에만 써야하는데 타사에 납품용으로 사용하게 된거라 문제가 됐을 수도 있어요"
,"","The message has been deleted."
2023-10-16 10:58:42,"라이언","기존은 원랜 제가 결제한 라이선스로 중소기업납품용을 썼었는데 끝났더라구요 "
2023-10-16 10:58:45,"라이언","Emoticon"
2023-10-16 10:59:30,"라이언","그 사이트에 해당되는 저장된 아이디가 여러개라 다른 아이디로 로그인된 채로 다운 받아 쓴 거라"
2023-10-16 10:59:34,"라이언","것도 난감하더라구요"
2023-10-16 10:59:37,"라이언","멍청하게"
2023-10-16 10:59:47,"라이언","그래서 중소기업납품용라이선스 재결제 하겠다"
2023-10-16 10:59:49,"라이언","하니까 "
2023-10-16 10:59:59,"라이언","저 3컷은 어차피 상페에는 그 라이선스로 사용 안 된다 "
2023-10-16 11:00:12,"라이언","그래서 중소기업 라이선스 있어도 66만원은 따로 내야한다"
2023-10-16 11:00:29,"라이언","얘기하다가 협의점이라고 연락 받은 게 99만원에 둘 다 처리해주는 조건이었어요"
2023-10-16 12:51:57,"서놔/웹디자이너/부산","내리겠다하세요"
2023-10-16 12:52:03,"서놔/웹디자이너/부산","돈주지말고"
2023-10-16 12:53:06,"서놔/웹디자이너/부산","삭제나 수정하면 그돈 안내도 되는걸로 알아요"
2023-10-16 13:10:15,"음악듣는 어피치","혹시 피그마에서 프로토타이핑한걸 gif로 내보낼 때 다들 어떤방법 사용하시나요? export to gif 플러그인 결제해서 쓰고있긴한데 다른 방법이 있는지 궁금합니다!"
2023-10-16 13:11:05,"엄지척 프로도","혹시 피그마로 스크롤내리면서 3d 이미지가 움직이는 모션은 프로토타이핑 못하겠죵? "
2023-10-16 13:52:02,"멋쟁이 프로도","뜨이님께서 올려주셨던 시계프로토타이핑 이미지가 기간이 지나서 볼 수가 없는데 혹시 이미지 갖고계신 분 계실까요,,? 시계프로토타이핑을 만들 일이 생겨서 찾다보니 뜨이님이 올려주셨더라구요 ㅜㅜ "
2023-10-16 13:58:03,"뜨이","https://www.notion.so/79832b8c8da0478ba5c9794b6da594fe?pvs=4"
2023-10-16 13:58:12,"시원","오늘 피그마 밋업 가시는 분들 계신가요?? "
2023-10-16 13:58:35,"뜨이","관련 내용 이미지와 함께 피그마 피디아에서 확인해보세용 :)"
2023-10-16 14:00:13,"오픈채팅봇","피그마 피디아👉 https://url.kr/mo9n2a"
2023-10-16 14:07:46,"엄지척 프로도","저갑니다!"
2023-10-16 14:10:10,"시원","페이지에 정보가 많이 없어서...!"
2023-10-16 14:10:40,"시원","혹시 아시는 정보있을까요? 주변에서 통역없이 풀 영어로 하는거 아니냐고 물어봐서 .. "
2023-10-16 14:11:23,"시원","저도 급 궁금해져서!"
2023-10-16 14:11:41,"쿵","저두 갑니다~"
,"","The message has been deleted."
,"","The message has been deleted."
2023-10-16 14:22:33,"멋쟁이 프로도","감사합니다 뜨이님!!!😊😊"
2023-10-16 14:42:21,"열심히 일하는 네오","피그마에서 프로토타입으로 모션 설정한 뒤에 gif로 추출할 수 있는 방법 없나요?"
2023-10-16 14:47:29,"라면먹는 제이지","Photo"
2023-10-16 14:47:39,"라면먹는 제이지","프레임명없애는 방법 있을까용?"
2023-10-16 14:47:48,"라면먹는 제이지","안보이게 하고 싶어서요 ㅎㅎ"
2023-10-16 14:48:25,"돼지마","1. 프레임명을 공백으로 (띄어쓰기 한번)
2. 그룹 주면 프레임명 안보입니당
3. 섹션 속에 있어도 안보일거에요"
2023-10-16 14:49:04,"라면먹는 제이지","섹션 안에 있고, 띄어쓰기 한번 했는데
요 아이콘도 없앨 순 없는거죵?"
2023-10-16 14:49:04,"라면먹는 제이지","Photo"
2023-10-16 14:50:14,"먹보 네오","안녕하세요! 혹시 처음으로 uiux 디자인 인턴을  지원해보고싶은데 포트폴리오의 경우 어떤 내용을 포함하는게 좋나요? 아니면 프로젝트 경험이 없으면 지원하기에는 어려울까요..? "
2023-10-16 14:50:22,"돼지마","아 섹션은 안되나보네용 착각했어요 그룹주면 안보이긴 합니당"
2023-10-16 14:50:28,"라면먹는 제이지","넵 감사합니다^^"
2023-10-16 14:52:20,"애교뿜뿜 어피치","혹시 피그마에서 표는 어떻게 만드시나요 ? :)))"
2023-10-16 14:54:09,"프로도","아마 표 만드는 플러그인이 있을거예여"
2023-10-16 14:54:14,"애교뿜뿜 어피치","아항"
