조직명,분류,상태,시기,횟수,근거 소스
광주디자인진흥원,공공·기관,강의 진행,2026-08,1회,"Gmail, 구글캘린더, 인스타"
부산디자인진흥원,공공·기관,강의 진행,2024-10,1회,애플캘린더
대구경북디자인진흥원,공공·기관,강의 진행,2025-06,1회,Gmail
서울디자인진흥원,공공·기관,강의 진행,2025-07,1회,애플캘린더
부산시인재개발원,공공·기관,강의 진행,2026-07,2일 과정,Gmail
서울시,공공·기관,강의 진행,2024-08,2회,애플캘린더
서울핀테크랩,공공·기관,강의 진행,2024-10,1회,애플캘린더
구름 (goorm) / 구름톤 유니브,공공·기관,강의 진행,2025-07,해커톤 특강,"Gmail, 인스타"
K-DEVCON,커뮤니티·컨퍼런스,강의 진행,2025-02,세션 발표,인스타
센텀 디지털위크,커뮤니티·컨퍼런스,강의 진행,2025-09,행사 참여,인스타
LG CNS,문의 단계,문의·미팅,2026-04,-,"Tally, Gmail, 구글캘린더"
LINE,문의 단계,문의·미팅,2025-09,-,구글캘린더
폰드그룹 (코웰패션),문의 단계,문의·미팅,2026-04,-,"Gmail, 구글캘린더"
세이브더칠드런,문의 단계,문의·미팅,2026-05,-,"Tally, Gmail"
한국디자인진흥원,문의 단계,문의·미팅,2026-07,-,Tally
인천테크노파크 디자인지원센터,문의 단계,문의·미팅,2026-06,-,Tally
모두의연구소,문의 단계,문의·미팅,2025-11,-,Gmail
휴넷,문의 단계,문의·미팅,2025-12,-,Gmail
아소비,문의 단계,문의·미팅,2025-11,-,구글캘린더
Framer,문의 단계,문의·미팅,2026-06,-,"Tally, Gmail"
매드업,문의 단계,문의·미팅,2026-07,-,Tally
GC케어,문의 단계,문의·미팅,2026-05,-,Tally
더웨이브컴퍼니,문의 단계,문의·미팅,2026-04,-,"Tally, Gmail"
메이르파트너스,문의 단계,문의·미팅,2026-07,-,Tally
몽글루,문의 단계,문의·미팅,2026-06,-,Tally
말랑하니,문의 단계,문의·미팅,2026-05,-,"Tally, 구글캘린더"
글라이드,문의 단계,문의·미팅,2024-07,-,구글캘린더
서울경제진흥원 (SBA),강의 외,강의 외,2025-03 ~ 04,커리큘럼 검토 자문,Gmail
클래스101,강의 외,강의 외,2025-07,콘텐츠 제휴 미팅,애플캘린더
클래스유,강의 외,강의 외,2025-08 ~ 09,콘텐츠 제휴,애플캘린더
벤큐코리아,강의 외,강의 외,2026-08,제품 리뷰 제작,Gmail
